S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
1,jypestraykids,Stray Kids,13.8M,6.4M,2.3M,50.2K,34.2K,13.8,6.4,2.3,50200.0,34200.0
2,khaby.lame,Khabane lame,149.2M,17.3M,2.3M,15.2K,8.7K,149.2,17.3,2.3,15200.0,8700.0
3,scarlettsspam2,scarlett,2.1M,17.9M,845.8K,53.9K,6.3K,2.1,17.9,0.8458,53900.0,6300.0
4,addisonre,Addison Rae,88.7M,22M,906.6K,7.6K,26.2K,88.7,22.0,0.9066000000000001,7600.0,26200.0
5,belindatok,Belinda,4.8M,14.2M,1.5M,14.5K,15.3K,4.8,14.2,1.5,14500.0,15300.0
6,onwardwanna,Wanna🥊,7.5M,12M,2M,20.4K,4.2K,7.5,12.0,2.0,20400.0,4200.0
7,therock,The Rock,55.4M,13.1M,1.5M,14.3K,11.9K,55.4,13.1,1.5,14300.0,11900.0
8,bizarrap,bzrp,5.8M,16.2M,2.7M,4.2K,6.9K,5.8,16.2,2.7,4200.0,6900.0
9,landonbarkerr,Landon Barker,3.8M,11.7M,1.2M,19.1K,15.2K,3.8,11.7,1.2,19100.0,15200.0
10,mrbeast,MrBeast,42.2M,13M,1.7M,17.2K,2.1K,42.2,13.0,1.7,17200.0,2100.0
11,charlidamelio,charli d’amelio,146.2M,15.2M,959.4K,20.8K,4.6K,146.2,15.2,0.9594,20800.0,4600.0
12,amauryguichon,Amaury Guichon,14.5M,11.4M,1.5M,7.2K,11.8K,14.5,11.4,1.5,7200.0,11800.0
13,jetbentlee,Jet,3.9M,12.4M,2.2M,3.6K,6.6K,3.9,12.4,2.2,3600.0,6600.0
14,kervo.dolo,Kervo.dolo,10.3M,5.7M,1.3M,7.9K,27.6K,10.3,5.7,1.3,7900.0,27600.0
15,ttdramanews,TT Drama Layla,856.3K,6.1M,1.1M,16.6K,17.7K,0.8563,6.1,1.1,16600.0,17700.0
16,mishayoung,Миша Городецкий 🇺🇦,4M,10.8M,680K,5.7K,22.5K,4.0,10.8,0.68,5700.0,22500.0
17,domelipa,domelipa,58.1M,10.4M,1.5M,9.1K,3.5K,58.1,10.4,1.5,9100.0,3500.0
18,kyliejenner,Kylie Jenner,47M,12.3M,1.9M,5.5K,2.6K,47.0,12.3,1.9,5500.0,2600.0
19,enhypen,enhypen,12.7M,4.3M,1.1M,24.8K,14.3K,12.7,4.3,1.1,24800.0,14300.0
20,kimberly.loaiza,Kimberly Loaiza,67.2M,8.8M,1.2M,12.1K,4.3K,67.2,8.8,1.2,12100.0,4300.0
21,ramonvitor,ramonvitor,8.7M,9.3M,1.9M,7.3K,2.4K,8.7,9.3,1.9,7300.0,2400.0
22,txt.bighitent,TOMORROW X TOGETHER,18.1M,3.8M,1.1M,27.4K,9.5K,18.1,3.8,1.1,27400.0,9500.0
23,emraynea,emraynea,1.1M,5.1M,1.4M,6.6K,13.5K,1.1,5.1,1.4,6600.0,13500.0
24,bp_tiktok,blackpinkofficial,31.2M,4.5M,839.6K,13.9K,22.2K,31.2,4.5,0.8396,13900.0,22200.0
25,mtarek.official3,Mohamed Tarek - محمد طارق,1.3M,4.7M,864.2K,21.9K,8K,1.3,4.7,0.8642000000000001,21900.0,8000.0
26,zeth,Zeth,13M,8.5M,1.7M,2.2K,6.2K,13.0,8.5,1.7,2200.0,6200.0
27,kurtsworld,Kurt Kunkle,1.3M,4.9M,685.9K,30.1K,3.3K,1.3,4.9,0.6859,30100.0,3300.0
28,joshtgodfrey,Josh Godfrey,285.5K,6.4M,587.6K,12.8K,16.3K,0.2855,6.4,0.5876,12800.0,16300.0
29,justinflom,JustinFlom,6.1M,12.9M,789.2K,4.5K,6.2K,6.1,12.9,0.7892,4500.0,6200.0
30,williesalim,WILLIE SALIM,15.5M,8.1M,589.2K,17.4K,5.4K,15.5,8.1,0.5892000000000001,17400.0,5400.0
31,rosalia,La Rosalia,25.5M,14.2M,1.2M,3.3K,2.6K,25.5,14.2,1.2,3300.0,2600.0
32,birovr,Biro,3M,6.4M,760.9K,6.1K,14.3K,3.0,6.4,0.7609,6100.0,14300.0
33,kiet.ac.quy,Kiệt Ắk Wỷ,3.3M,5.2M,842.2K,12.3K,8.5K,3.3,5.2,0.8422000000000001,12300.0,8500.0
34,threedotcorey,corey,4.9M,6.3M,1.4M,2.9K,7.1K,4.9,6.3,1.4,2900.0,7100.0
35,iamferv,Fernanda,31.5M,6.6M,962.3K,10K,3.9K,31.5,6.6,0.9622999999999999,10000.0,3900.0
36,winnermaxyt,WinnerMax,4.5M,13.8M,1M,1.8K,4.5K,4.5,13.8,1.0,1800.0,4500.0
37,devankey,Devan Key,8M,6.9M,976.2K,8.6K,3.7K,8.0,6.9,0.9762000000000001,8600.0,3700.0
38,yunggravy,Yung Gravy 🍯,6.6M,9.5M,1.4M,3.5K,2.7K,6.6,9.5,1.4,3500.0,2700.0
39,siscakohl,Sisca Kohl,12.4M,9.2M,1.1M,6.2K,1.8K,12.4,9.2,1.1,6200.0,1800.0
40,lexibrookerivera,Lexi Rivera,23.2M,7.5M,992.5K,8.5K,1.8K,23.2,7.5,0.9925,8500.0,1800.0
41,leith1423,Leithal,1.1M,7.9M,1.3M,3.8K,3.2K,1.1,7.9,1.3,3800.0,3200.0
42,imeyhou,Meyden,3M,9M,799.5K,8K,1.6K,3.0,9.0,0.7995,8000.0,1600.0
43,b.blek,b.blek,2.6M,8M,616.7K,6.4K,7.4K,2.6,8.0,0.6167,6400.0,7400.0
44,mc.pedrinhoofc,Mc Pedrinho,5M,8.2M,1.2M,5K,2K,5.0,8.2,1.2,5000.0,2000.0
45,jennmelon,Jenn Melon,2.2M,5.5M,1.4M,3.8K,4.9K,2.2,5.5,1.4,3800.0,4900.0
46,nilered,NileRed,10.3M,6M,1M,4.4K,6.3K,10.3,6.0,1.0,4400.0,6300.0
47,zhangxi_acupuntura,doctor Zhang Xi,2.9M,7M,378.5K,1.5K,22.5K,2.9,7.0,0.3785,1500.0,22500.0
48,pongamoslo_a_prueba,Pongámoslo a Prueba,36.7M,9.3M,1.6M,2.3K,2K,36.7,9.3,1.6,2300.0,2000.0
49,itsmacdoogle,ItsMacDoogle,1.8M,3.9M,685.9K,10.1K,13K,1.8,3.9,0.6859,10100.0,13000.0
50,jesusnalgas,jesus_nalgas,2.6M,5M,970.1K,6K,6K,2.6,5.0,0.9701000000000001,6000.0,6000.0
51,notemmamarie,Em,493.9K,4.4M,775.2K,9.1K,6.7K,0.49389999999999995,4.4,0.7752,9100.0,6700.0
52,daniel.labelle,Daniel LaBelle,27M,5.2M,816.8K,3.8K,8.4K,27.0,5.2,0.8168,3800.0,8400.0
53,conangray,conangray,6.4M,3.9M,1.1M,7K,4.9K,6.4,3.9,1.1,7000.0,4900.0
54,spencer_serafica,Xspencer,13.6M,5.2M,924.3K,5.9K,4K,13.6,5.2,0.9242999999999999,5900.0,4000.0
55,musikyotogsj,うさっくま♡Movie,1.2M,4.3M,192K,1.8K,55.9K,1.2,4.3,0.192,1800.0,55900.0
56,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,2.9M,5.4M,548.2K,7.8K,7.7K,2.9,5.4,0.5482,7800.0,7700.0
57,soyminisech,🐻🐻SECHITO🐻🐻,1.2M,6.5M,603.4K,2K,9.5K,1.2,6.5,0.6033999999999999,2000.0,9500.0
58,katya.ross,Katya Ross,293.3K,2.8M,665.3K,5.7K,18.1K,0.2933,2.8,0.6653,5700.0,18100.0
59,vinnyguadagnino,vinnyguadagnino,3.1M,5.1M,629.3K,5.9K,7.2K,3.1,5.1,0.6293,5900.0,7200.0
60,lelepons,Lele Pons,27.9M,12.2M,1M,1.5K,1.7K,27.9,12.2,1.0,1500.0,1700.0
61,mattsturniolo,Matt,3.2M,3.2M,812K,10.9K,4.6K,3.2,3.2,0.812,10900.0,4600.0
62,rayssabuq,Rayssa Buq,7.2M,4.3M,775.3K,7.9K,4.1K,7.2,4.3,0.7753,7900.0,4100.0
63,charl1d4meli0,charlidamelio,64.6K,5.4M,804K,6.9K,1.7K,0.06459999999999999,5.4,0.804,6900.0,1700.0
